0,sagen,CDU/CSU,4001
1,sagen,SPD,4015
2,sagen,FDP,2264
3,sagen,BÜNDNIS 90/DIE GRÜNEN,2208
4,sagen,DIE LINKE,2081
5,geben,CDU/CSU,3366
6,geben,SPD,2752
7,geben,FDP,1631
8,geben,BÜNDNIS 90/DIE GRÜNEN,1469
9,geben,DIE LINKE,1308
10,wollen,CDU/CSU,4604
11,wollen,SPD,3655
12,wollen,FDP,2564
13,wollen,BÜNDNIS 90/DIE GRÜNEN,2168
14,wollen,DIE LINKE,1877
15,machen,CDU/CSU,3169
16,machen,SPD,2988
17,machen,FDP,1870
18,machen,BÜNDNIS 90/DIE GRÜNEN,1712
19,machen,DIE LINKE,1332
20,Jahr,CDU/CSU,8296
21,Jahr,SPD,5815
22,Jahr,FDP,3772
23,Jahr,BÜNDNIS 90/DIE GRÜNEN,3221
24,Jahr,DIE LINKE,3566
25,gut,CDU/CSU,4559
26,gut,SPD,3295
27,gut,FDP,2241
28,gut,BÜNDNIS 90/DIE GRÜNEN,1516
29,gut,DIE LINKE,1424
30,gehen,CDU/CSU,3457
31,gehen,SPD,2556
32,gehen,FDP,1636
33,gehen,BÜNDNIS 90/DIE GRÜNEN,1470
34,gehen,DIE LINKE,1372
35,Bündnis,CDU/CSU,380
36,Bündnis,SPD,240
37,Bündnis,FDP,204
38,Bündnis,BÜNDNIS 90/DIE GRÜNEN,130
39,Bündnis,DIE LINKE,159
40,Deutschland,CDU/CSU,5107
41,Deutschland,SPD,3361
42,Deutschland,FDP,2332
43,Deutschland,BÜNDNIS 90/DIE GRÜNEN,1822
44,Deutschland,DIE LINKE,1774
45,Frage,CDU/CSU,3130
46,Frage,SPD,3245
47,Frage,FDP,1464
48,Frage,BÜNDNIS 90/DIE GRÜNEN,2054
49,Frage,DIE LINKE,1402
50,Land,CDU/CSU,3797
51,Land,SPD,2376
52,Land,FDP,1764
53,Land,BÜNDNIS 90/DIE GRÜNEN,1414
54,Land,DIE LINKE,1389
55,Bundesregierung,CDU/CSU,2317
56,Bundesregierung,SPD,3170
57,Bundesregierung,FDP,1360
58,Bundesregierung,BÜNDNIS 90/DIE GRÜNEN,2183
59,Bundesregierung,DIE LINKE,2221
60,Mensch,CDU/CSU,5031
61,Mensch,SPD,4378
62,Mensch,FDP,2539
63,Mensch,BÜNDNIS 90/DIE GRÜNEN,2326
64,Mensch,DIE LINKE,3225
65,Fraktion,CDU/CSU,1461
66,Fraktion,SPD,1362
67,Fraktion,FDP,948
68,Fraktion,BÜNDNIS 90/DIE GRÜNEN,695
69,Fraktion,DIE LINKE,710
70,groß,CDU/CSU,2697
71,groß,SPD,1920
72,groß,FDP,1110
73,groß,BÜNDNIS 90/DIE GRÜNEN,1125
74,groß,DIE LINKE,1045
75,deutsch,CDU/CSU,2594
76,deutsch,SPD,1847
77,deutsch,FDP,1171
78,deutsch,BÜNDNIS 90/DIE GRÜNEN,1158
79,deutsch,DIE LINKE,1318
80,wissen,CDU/CSU,2091
81,wissen,SPD,2062
82,wissen,FDP,1134
83,wissen,BÜNDNIS 90/DIE GRÜNEN,1178
84,wissen,DIE LINKE,965
85,tun,CDU/CSU,16146
86,tun,SPD,12035
87,tun,FDP,7906
88,tun,BÜNDNIS 90/DIE GRÜNEN,6845
89,tun,DIE LINKE,6747
90,stehen,CDU/CSU,2938
91,stehen,SPD,2069
92,stehen,FDP,1337
93,stehen,BÜNDNIS 90/DIE GRÜNEN,1223
94,stehen,DIE LINKE,936
95,Euro,CDU/CSU,7544
96,Euro,SPD,6141
97,Euro,FDP,3187
98,Euro,BÜNDNIS 90/DIE GRÜNEN,3043
99,Euro,DIE LINKE,3639
100,Antrag,CDU/CSU,3568
101,Antrag,SPD,2391
102,Antrag,FDP,1924
103,Antrag,BÜNDNIS 90/DIE GRÜNEN,1451
104,Antrag,DIE LINKE,1568
105,stellen,CDU/CSU,3371
106,stellen,SPD,2483
107,stellen,FDP,1595
108,stellen,BÜNDNIS 90/DIE GRÜNEN,1392
109,stellen,DIE LINKE,1181
110,richtig,CDU/CSU,3244
111,richtig,SPD,1831
112,richtig,FDP,1478
113,richtig,BÜNDNIS 90/DIE GRÜNEN,1093
114,richtig,DIE LINKE,765
115,Wort,CDU/CSU,682
116,Wort,SPD,806
117,Wort,FDP,388
118,Wort,BÜNDNIS 90/DIE GRÜNEN,409
119,Wort,DIE LINKE,345
120,finden,CDU/CSU,1184
121,finden,SPD,1020
122,finden,FDP,585
123,finden,BÜNDNIS 90/DIE GRÜNEN,611
124,finden,DIE LINKE,543
125,mögen,CDU/CSU,274
126,mögen,SPD,246
127,mögen,FDP,185
128,mögen,BÜNDNIS 90/DIE GRÜNEN,136
129,mögen,DIE LINKE,386
130,dürfen,CDU/CSU,923
131,dürfen,SPD,598
132,dürfen,FDP,402
133,dürfen,BÜNDNIS 90/DIE GRÜNEN,349
134,dürfen,DIE LINKE,376
135,sehen,CDU/CSU,2404
136,sehen,SPD,1960
137,sehen,FDP,1219
138,sehen,BÜNDNIS 90/DIE GRÜNEN,1129
139,sehen,DIE LINKE,877
140,brauchen,CDU/CSU,1605
141,brauchen,SPD,1904
142,brauchen,FDP,721
143,brauchen,BÜNDNIS 90/DIE GRÜNEN,998
144,brauchen,DIE LINKE,1010
145,gerade,CDU/CSU,1967
146,gerade,SPD,1555
147,gerade,FDP,992
148,gerade,BÜNDNIS 90/DIE GRÜNEN,988
149,gerade,DIE LINKE,804
150,Thema,CDU/CSU,2581
151,Thema,SPD,1938
152,Thema,FDP,1134
153,Thema,BÜNDNIS 90/DIE GRÜNEN,909
154,Thema,DIE LINKE,582
155,lassen,CDU/CSU,2209
156,lassen,SPD,1893
157,lassen,FDP,1091
158,lassen,BÜNDNIS 90/DIE GRÜNEN,1045
159,lassen,DIE LINKE,1009
160,genau,CDU/CSU,1742
161,genau,SPD,1551
162,genau,FDP,1062
163,genau,BÜNDNIS 90/DIE GRÜNEN,800
164,genau,DIE LINKE,792
165,Präsident,CDU/CSU,2491
166,Präsident,SPD,1953
167,Präsident,FDP,1333
168,Präsident,BÜNDNIS 90/DIE GRÜNEN,1249
169,Präsident,DIE LINKE,1329
170,Prozent,CDU/CSU,3258
171,Prozent,SPD,2015
172,Prozent,FDP,1307
173,Prozent,BÜNDNIS 90/DIE GRÜNEN,1262
174,Prozent,DIE LINKE,1789
175,Beispiel,CDU/CSU,1951
176,Beispiel,SPD,1726
177,Beispiel,FDP,954
178,Beispiel,BÜNDNIS 90/DIE GRÜNEN,1022
179,Beispiel,DIE LINKE,1130
180,glauben,CDU/CSU,270
181,glauben,SPD,347
182,glauben,FDP,150
183,glauben,BÜNDNIS 90/DIE GRÜNEN,182
184,glauben,DIE LINKE,157
185,führen,CDU/CSU,2194
186,führen,SPD,1474
187,führen,FDP,955
188,führen,BÜNDNIS 90/DIE GRÜNEN,766
189,führen,DIE LINKE,714
190,deutlich,CDU/CSU,2287
191,deutlich,SPD,1697
192,deutlich,FDP,1296
193,deutlich,BÜNDNIS 90/DIE GRÜNEN,720
194,deutlich,DIE LINKE,772
195,europäisch,CDU/CSU,1570
196,europäisch,SPD,1240
197,europäisch,FDP,688
198,europäisch,BÜNDNIS 90/DIE GRÜNEN,696
199,europäisch,DIE LINKE,464
200,sprechen,CDU/CSU,2643
201,sprechen,SPD,2155
202,sprechen,FDP,1180
203,sprechen,BÜNDNIS 90/DIE GRÜNEN,979
204,sprechen,DIE LINKE,883
205,Weg,CDU/CSU,2657
206,Weg,SPD,1355
207,Weg,FDP,1259
208,Weg,BÜNDNIS 90/DIE GRÜNEN,649
209,Weg,DIE LINKE,577
210,hoch,CDU/CSU,591
211,hoch,SPD,488
212,hoch,FDP,315
213,hoch,BÜNDNIS 90/DIE GRÜNEN,276
214,hoch,DIE LINKE,278
215,Bereich,CDU/CSU,2402
216,Bereich,SPD,1608
217,Bereich,FDP,981
218,Bereich,BÜNDNIS 90/DIE GRÜNEN,639
219,Bereich,DIE LINKE,529
220,Problem,CDU/CSU,1764
221,Problem,SPD,1556
222,Problem,FDP,1146
223,Problem,BÜNDNIS 90/DIE GRÜNEN,1109
224,Problem,DIE LINKE,1110
225,Zeit,CDU/CSU,2923
226,Zeit,SPD,2230
227,Zeit,FDP,1452
228,Zeit,BÜNDNIS 90/DIE GRÜNEN,1128
229,Zeit,DIE LINKE,977
230,gemeinsam,CDU/CSU,1875
231,gemeinsam,SPD,1448
232,gemeinsam,FDP,764
233,gemeinsam,BÜNDNIS 90/DIE GRÜNEN,733
234,gemeinsam,DIE LINKE,442
235,bleiben,CDU/CSU,762
236,bleiben,SPD,658
237,bleiben,FDP,403
238,bleiben,BÜNDNIS 90/DIE GRÜNEN,341
239,bleiben,DIE LINKE,378
240,Fall,CDU/CSU,1205
241,Fall,SPD,848
242,Fall,FDP,600
243,Fall,BÜNDNIS 90/DIE GRÜNEN,493
244,Fall,DIE LINKE,531
245,schaffen,CDU/CSU,1594
246,schaffen,SPD,1090
247,schaffen,FDP,805
248,schaffen,BÜNDNIS 90/DIE GRÜNEN,683
249,schaffen,DIE LINKE,513
250,Regierung,CDU/CSU,1911
251,Regierung,SPD,2524
252,Regierung,FDP,1227
253,Regierung,BÜNDNIS 90/DIE GRÜNEN,1133
254,Regierung,DIE LINKE,1221
255,liegen,CDU/CSU,1685
256,liegen,SPD,1085
257,liegen,FDP,838
258,liegen,BÜNDNIS 90/DIE GRÜNEN,594
259,liegen,DIE LINKE,721
260,halten,CDU/CSU,3428
261,halten,SPD,2669
262,halten,FDP,1695
263,halten,BÜNDNIS 90/DIE GRÜNEN,1470
264,halten,DIE LINKE,1419
265,schön,CDU/CSU,759
266,schön,SPD,649
267,schön,FDP,321
268,schön,BÜNDNIS 90/DIE GRÜNEN,451
269,schön,DIE LINKE,452
270,Koalition,CDU/CSU,2165
271,Koalition,SPD,2191
272,Koalition,FDP,1739
273,Koalition,BÜNDNIS 90/DIE GRÜNEN,1192
274,Koalition,DIE LINKE,705
275,Punkt,CDU/CSU,1825
276,Punkt,SPD,1470
277,Punkt,FDP,825
278,Punkt,BÜNDNIS 90/DIE GRÜNEN,687
279,Punkt,DIE LINKE,504
280,Politik,CDU/CSU,1604
281,Politik,SPD,1606
282,Politik,FDP,914
283,Politik,BÜNDNIS 90/DIE GRÜNEN,806
284,Politik,DIE LINKE,1099
285,zeigen,CDU/CSU,554
286,zeigen,SPD,411
287,zeigen,FDP,286
288,zeigen,BÜNDNIS 90/DIE GRÜNEN,255
289,zeigen,DIE LINKE,176
290,Debatte,CDU/CSU,1631
291,Debatte,SPD,1272
292,Debatte,FDP,603
293,Debatte,BÜNDNIS 90/DIE GRÜNEN,653
294,Debatte,DIE LINKE,442
295,bringen,CDU/CSU,1295
296,bringen,SPD,952
297,bringen,FDP,675
