Faction,Word,Word Frequency per Faction,Mean of all Word Frequencies,Standard Deviation of all Word Frequencies,Is a word more or less used?,
BÜNDNIS 90/DIE GRÜNEN,Jahr,0.00287357860009,0.00318403847036,0.000218292323716,less,
BÜNDNIS 90/DIE GRÜNEN,gut,0.00135248219737,0.00164471538844,0.00026657194194,less,
BÜNDNIS 90/DIE GRÜNEN,Bündnis,0.000115978024841,0.000144595894798,2.23471056053e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Frage,0.00183245279248,0.00147701381861,0.000231882271397,more,
BÜNDNIS 90/DIE GRÜNEN,wissen,0.00105093933279,0.000973394902537,7.75232661876e-05,more,
BÜNDNIS 90/DIE GRÜNEN,tun,0.00610668907719,0.00643579273443,0.000309440175274,less,
BÜNDNIS 90/DIE GRÜNEN,Euro,0.00271477791993,0.00303504713401,0.00025459931982,less,
BÜNDNIS 90/DIE GRÜNEN,finden,0.000545096716751,0.000515421573912,1.78942523793e-05,more,
BÜNDNIS 90/DIE GRÜNEN,dürfen,0.000311356389765,0.000340629776212,2.89000363681e-05,less,
BÜNDNIS 90/DIE GRÜNEN,gerade,0.000881432988789,0.000822383246762,4.77581274791e-05,more,
BÜNDNIS 90/DIE GRÜNEN,deutlich,0.000642339829887,0.000862789822555,0.000171668497763,less,
BÜNDNIS 90/DIE GRÜNEN,bleiben,0.000304219280544,0.0003324216178,1.76925506106e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Fall,0.000439824355742,0.000478749287257,3.38306972083e-05,less,
BÜNDNIS 90/DIE GRÜNEN,liegen,0.000529930359657,0.000637875741414,7.87329092242e-05,less,
BÜNDNIS 90/DIE GRÜNEN,halten,0.00131144381935,0.00138149040712,6.37420178642e-05,less,
BÜNDNIS 90/DIE GRÜNEN,setzen,0.00179230655312,0.00161301869868,9.16861838118e-05,more,
BÜNDNIS 90/DIE GRÜNEN,gehören,0.000107948776967,0.000133760542714,1.47250199079e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Million,0.000598625035909,0.000748376599267,0.000116400808396,less,
BÜNDNIS 90/DIE GRÜNEN,Arbeit,0.00152020426407,0.00220712830441,0.000351542231671,less,
BÜNDNIS 90/DIE GRÜNEN,reden,0.000568292321719,0.000483790409029,6.87874672953e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Recht,0.00148719513392,0.0013231239318,0.000109284305515,more,
BÜNDNIS 90/DIE GRÜNEN,Zahl,0.000533498914267,0.000593558801485,4.6165235028e-05,less,
BÜNDNIS 90/DIE GRÜNEN,fragen,0.000417520889427,0.000325246783917,5.06863140756e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Entwicklung,0.000577213708246,0.000733480645373,0.00010736646052,less,
BÜNDNIS 90/DIE GRÜNEN,Kind,0.00098046037923,0.00108823542467,9.88982999296e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Situation,0.000349718351827,0.000436096940924,4.97195540184e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Vorschlag,0.000324738469554,0.000260943488716,4.41515433624e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Teil,0.000628065611445,0.000657703881008,2.63227449906e-05,less,
BÜNDNIS 90/DIE GRÜNEN,leisten,0.000261396625218,0.000328753941211,5.04689174074e-05,less,
BÜNDNIS 90/DIE GRÜNEN,falsch,0.000477294179152,0.000432305362264,3.63977262529e-05,more,
BÜNDNIS 90/DIE GRÜNEN,stimmen,0.000452314296879,0.000365803501034,7.36257900641e-05,more,
BÜNDNIS 90/DIE GRÜNEN,Mittel,0.000574537292288,0.000636495032833,5.55972184196e-05,less,
BÜNDNIS 90/DIE GRÜNEN,unterstützen,0.000235524604292,0.000265019936553,1.95346579137e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Ergebnis,0.00031314066707,0.000380869053229,5.28191793437e-05,less,
BÜNDNIS 90/DIE GRÜNEN,handeln,0.000244445990818,0.000222844554893,2.02915856803e-05,more,
BÜNDNIS 90/DIE GRÜNEN,erhalten,0.000423765859995,0.000461807969039,2.56641682402e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Unternehmen,0.000489784120289,0.000601420234558,9.44335706611e-05,less,
BÜNDNIS 90/DIE GRÜNEN,lang,0.00121687712217,0.00113370950518,5.83685974059e-05,more,
BÜNDNIS 90/DIE GRÜNEN,nein,0.000206976167408,0.000272549199502,3.34390675065e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Seite,0.00037112967949,0.000423559040253,4.85661799649e-05,less,
BÜNDNIS 90/DIE GRÜNEN,arbeiten,0.000307787835154,0.000423788151946,7.11683969274e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Ding,0.000215005415282,0.000316670873657,7.1890663526e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Welt,0.000397001700416,0.000495684772217,8.65439354118e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Beitrag,0.000215897553934,0.000319971647211,8.49250349775e-05,less,
BÜNDNIS 90/DIE GRÜNEN,Gesellschaft,0.00033365985608,0.000377112508221,3.34240426423e-05,less,
BÜNDNIS 90/DIE GRÜNEN,wirtschaftlich,0.000325630608207,0.000395158815435,5.80199873343e-05,less,
