sagen,CDU/CSU,4001
sagen,SPD,4015
sagen,FDP,2264
sagen,"BÜNDNIS 90/DIE GRÜNEN",2208
sagen,"DIE LINKE",2081
geben,CDU/CSU,3366
geben,SPD,2752
geben,FDP,1631
geben,"BÜNDNIS 90/DIE GRÜNEN",1469
geben,"DIE LINKE",1308
wollen,CDU/CSU,4604
wollen,SPD,3655
wollen,FDP,2564
wollen,"BÜNDNIS 90/DIE GRÜNEN",2168
wollen,"DIE LINKE",1877
machen,CDU/CSU,3169
machen,SPD,2988
machen,FDP,1870
machen,"BÜNDNIS 90/DIE GRÜNEN",1712
machen,"DIE LINKE",1332
Jahr,CDU/CSU,8296
Jahr,SPD,5815
Jahr,FDP,3772
Jahr,"BÜNDNIS 90/DIE GRÜNEN",3221
Jahr,"DIE LINKE",3566
gut,CDU/CSU,4559
gut,SPD,3295
gut,FDP,2241
gut,"BÜNDNIS 90/DIE GRÜNEN",1516
gut,"DIE LINKE",1424
gehen,CDU/CSU,3457
gehen,SPD,2556
gehen,FDP,1636
gehen,"BÜNDNIS 90/DIE GRÜNEN",1470
gehen,"DIE LINKE",1372
Bündnis,CDU/CSU,380
Bündnis,SPD,240
Bündnis,FDP,204
Bündnis,"BÜNDNIS 90/DIE GRÜNEN",130
Bündnis,"DIE LINKE",159
Deutschland,CDU/CSU,5107
Deutschland,SPD,3361
Deutschland,FDP,2332
Deutschland,"BÜNDNIS 90/DIE GRÜNEN",1822
Deutschland,"DIE LINKE",1774
Frage,CDU/CSU,3130
Frage,SPD,3245
Frage,FDP,1464
Frage,"BÜNDNIS 90/DIE GRÜNEN",2054
Frage,"DIE LINKE",1402
Land,CDU/CSU,3797
Land,SPD,2376
Land,FDP,1764
Land,"BÜNDNIS 90/DIE GRÜNEN",1414
Land,"DIE LINKE",1389
Bundesregierung,CDU/CSU,2317
Bundesregierung,SPD,3170
Bundesregierung,FDP,1360
Bundesregierung,"BÜNDNIS 90/DIE GRÜNEN",2183
Bundesregierung,"DIE LINKE",2221
Mensch,CDU/CSU,5031
Mensch,SPD,4378
Mensch,FDP,2539
